Price Date,Balasore,Bargarh,Dhenkanal,Ganjam,Kalahandi,Khurda,Mayurbhanja,Nayagarh
2014-10-01,0.2948973864207178,0.41484810990435855,0.3469197952343462,0.3949469299822666,0.20002218134535416,0.22624648510349582,0.33191014105751154,0.14514918057771026
2014-11-01,0.4837649129060075,0.41184724605079875,0.32580812419637495,0.3991987729335166,0.23351325852551708,0.17467060783134516,0.40122571459819967,0.31080711492823526
2014-12-01,0.3006913838000333,0.4473134031056693,0.3987440266909256,0.3556624066760476,0.24528901510239612,0.25564576028534075,0.41772720215356124,0.2873785869402824
2015-01-01,0.4764802517194354,0.436542045324644,0.4369722568863263,0.37214877680973857,0.3009985113366928,0.31246487238597825,0.38837627388055806,0.7003432829894306
2015-02-01,0.32645975932009225,0.38200950639621406,0.557987203701201,0.305813174586131,0.27684046473428003,0.3433477722346478,0.4069864840073148,0.2378780361544757
2015-03-01,0.5450363121774062,0.4069090396356794,0.6075760138310863,0.3331233404480597,0.3280911645419983,0.39211835743346357,0.5159922848875323,0.2964088604548083
2015-04-01,0.3628431467614032,0.4598374823267628,0.37745940145185697,0.38938281824875826,0.2879822287650693,0.22407435402611714,0.28737869797365995,0.3455708555237767
2015-05-01,0.5347846174310686,0.36640958717201627,0.37555598397058576,0.36100990107421344,0.3049196213959762,0.6136120376656486,0.3188165642616317,0.6167593425344919
2015-06-01,0.39435787636509745,0.3775535739942622,0.2995130704291787,0.4042489026547436,0.2758132759460673,0.42746441933318746,0.45816180823751945,0.34177600436223765
2015-07-01,0.5698428574331422,0.4087474233132249,0.3348049584265813,0.3429140023752118,0.2955173934361029,0.1897204036481738,0.40702222769061686,0.3446088564667898
2015-08-01,0.3890146202070034,0.4426995905840886,0.26679918386128226,0.4120357749607665,0.30578972130022436,0.1753385587945208,0.3588367053123036,0.5184932969181659
2015-09-01,0.5116929679617676,0.3774745112446044,0.3385861128044974,0.3023434531676003,0.3299321418712391,0.19616876192995214,0.45355791037375237,0.8235590848689976
