Price Date,condvol,PREC,MAXTEMP
2016-12-01,0.04304723077850848,0.0,32.77
2017-01-01,0.04483414245805257,59.87,33.77
2017-02-01,0.04606334046158381,49.849999999999994,37.69
2017-03-01,0.047986673122774146,45.99000000000001,43.77
2017-04-01,0.04435949690678006,11.66,45.6
2017-05-01,0.044963620391390416,209.67000000000002,47.3
2017-06-01,0.053657076346276145,2345.64,46.66
2017-07-01,0.042640517198235216,5426.3099999999995,38.94
2017-08-01,0.04920325770274957,2918.8900000000003,36.65
2017-09-01,0.05867134441443436,2829.0499999999993,37.69
2017-10-01,0.06523692047899694,212.43999999999994,38.64
2017-11-01,0.050058017335135783,1.3,33.81
2017-12-01,0.0392323845030859,20.59,31.8
2018-01-01,0.071759596771916,0.0,33.83
2018-02-01,0.06880662049817585,107.82999999999997,37.82
2018-03-01,0.15582906233527205,19.28,42.28
2018-04-01,0.0577976632273264,70.4,45.62
2018-05-01,0.0591211406122546,33.74999999999999,47.14
2018-06-01,0.06000956986154734,2109.43,45.56
2018-07-01,0.0608544115852626,6330.69,42.08
2018-08-01,0.05777328806445052,4056.4400000000005,33.9
2018-09-01,0.062467410016393346,2159.37,34.15
2018-10-01,0.04927033766573542,29.07999999999999,36.14
2018-11-01,0.044526497487818506,6.649999999999999,35.44
2018-12-01,0.06332124952775034,6.199999999999999,31.79
2019-01-01,0.06503505953135603,18.85,33.14
2019-02-01,0.061504690823771135,83.36999999999999,37.36
2019-03-01,0.13213773105705096,58.639999999999986,42.4
2019-04-01,0.05950671515214391,191.84,46.37
2019-05-01,0.0604174397467816,58.91,46.73
2019-06-01,0.060662079762987625,1668.01,48.37
2019-07-01,0.07075172505515047,6830.45,41.46
2019-08-01,0.061319234799574025,9034.769999999999,34.33
2019-09-01,0.05887064300304055,7396.43,33.33
2019-10-01,0.07843542521027207,945.51,32.11
2019-11-01,0.09900261480005192,106.07,32.41
2019-12-01,0.06011900553622926,188.09000000000003,27.33
2020-01-01,0.0769324392397777,211.36,31.39
2020-02-01,0.13684708383425226,32.58,35.15
2020-03-01,0.06384233520735758,322.93,39.69
2020-04-01,0.05629454220925085,45.22,44.01
2020-05-01,0.051674424469472374,175.20999999999998,46.76
2020-06-01,0.06395711741906526,3568.6899999999996,43.76
2020-07-01,0.0723412903692783,2720.7999999999997,39.65
2020-08-01,0.05433675691630319,8553.12,37.39
2020-09-01,0.05852489360628725,2298.0,39.17
2020-10-01,0.08906346480186351,236.93,38.45
2020-11-01,0.05395520568582598,416.60999999999996,34.09
2020-12-01,0.07959821715808578,154.16,31.48
2021-01-01,0.07521360448855725,83.2,33.4
2021-02-01,0.07277726466585913,29.099999999999998,37.65
2021-03-01,0.07764827985134765,286.69,42.55
2021-04-01,0.13288802324380583,24.180000000000007,43.85
2021-05-01,0.12063414037770835,782.97,43.73
2021-06-01,0.18467363013824786,2692.23,44.33
2021-07-01,0.0983112327340373,4191.4800000000005,43.1
2021-08-01,0.12661574455653005,4642.75,33.46
2021-09-01,0.3607937181552111,4100.38,32.56
2021-10-01,0.10982949507929583,1064.3300000000002,35.03
2021-11-01,0.07939863154723137,83.36,30.67
2021-12-01,0.09055188816572843,170.82999999999998,28.15
2022-01-01,0.14998225560131556,560.9,30.62
2022-02-01,0.09692132761010652,12.73,36.31
2022-03-01,0.10021254696306657,26.58,43.62
2022-04-01,0.18386486597302193,0.3400000000000001,46.11
2022-05-01,0.09921169002047112,113.63,47.55
2022-06-01,0.10328208226092975,2244.3399999999997,45.91
2022-07-01,0.08655877328604969,8511.369999999999,39.17
2022-08-01,0.08085409803916263,8138.290000000001,33.1
2022-09-01,0.07091507900846653,4160.669999999999,33.01
2022-10-01,0.06035780824877516,1759.8900000000003,31.93
2022-11-01,0.03974711120185815,0.01,31.57
2022-12-01,0.06025136684089152,102.12,31.22
2023-01-01,0.09163627787165333,131.19,32.59
2023-02-01,0.05582654858959636,0.0,37.17
2023-03-01,0.050857507819649074,328.61,38.67
2023-04-01,0.05173352458944873,604.9200000000001,42.83
2023-05-01,0.05388245453534716,484.94000000000005,45.76
2023-06-01,0.04940140537157533,2723.3299999999995,44.14
2023-07-01,0.047627382042764795,5721.73,36.42
2023-08-01,0.04263955581380938,2470.19,33.34
2023-09-01,0.05090234808695856,5332.24,35.73
2023-10-01,0.04625418574133687,51.55,34.6
2023-11-01,0.03397097102464369,502.36000000000007,33.6
2023-12-01,0.06004314303406512,179.2,30.4
2024-01-01,0.04383545187167155,147.25,32.3
2024-02-01,0.033937264734905125,124.42,35.88
2024-03-01,0.030252194509206732,150.47,42.61
2024-04-01,0.03355111144607931,458.78999999999996,43.73
2024-05-01,0.03589725101709758,154.29,48.23
2024-06-01,0.042820832479155475,2308.49,46.03
2024-07-01,0.04329279154252469,7255.655,40.18
2024-08-01,0.04427815891657681,8675.65,34.3
2024-09-01,0.03915109884477811,6176.790000000001,32.8
2024-10-01,0.05631608037066552,188.33000000000007,32.65
